"","year","all_hits","query_hits"
"1",1900,3247,2494
"2",1901,3299,2453
"3",1902,3389,2581
"4",1903,3541,2745
"5",1904,3719,2960
"6",1905,3744,2881
"7",1906,3622,2720
"8",1907,3945,3105
"9",1908,4300,3423
"10",1909,4637,3591
"11",1910,4730,3598
"12",1911,4893,3697
"13",1912,4813,3700
"14",1913,5096,3931
"15",1914,5111,3893
"16",1915,4575,3416
"17",1916,4390,3321
"18",1917,4153,3230
"19",1918,4166,3241
"20",1919,4539,3487
"21",1920,5130,4094
"22",1921,4776,3711
"23",1922,4264,3055
"24",1923,4579,3315
"25",1924,4992,3647
"26",1925,5093,3435
"27",1926,5427,3933
"28",1927,5980,4225
"29",1928,5579,4038
"30",1929,5831,4035
"31",1930,5733,4209
"32",1931,5608,4078
"33",1932,5671,4173
"34",1933,5724,4166
"35",1934,5607,4065
"36",1935,5769,4287
"37",1936,5496,4114
"38",1937,5428,4016
"39",1938,5874,4482
"40",1939,5661,4324
"41",1940,5073,3487
"42",1941,4918,3327
"43",1942,4843,3213
"44",1943,4561,3054
"45",1944,4791,3183
"46",1945,20513,3230
"47",1946,53932,3493
"48",1947,65050,4207
"49",1948,70757,4332
"50",1949,62826,4427
"51",1950,85792,4595
"52",1951,103821,4728
"53",1952,108182,5146
"54",1953,108924,5349
"55",1954,105942,5443
"56",1955,108562,5613
"57",1956,107015,5378
"58",1957,111528,5487
"59",1958,109467,5674
"60",1959,110000,5980
"61",1960,112222,6708
"62",1961,120180,6881
"63",1962,125694,6880
"64",1963,141540,7757
"65",1964,162110,8721
"66",1965,176737,9038
"67",1966,180184,8939
"68",1967,192077,10044
"69",1968,208156,10858
"70",1969,215346,11505
"71",1970,219424,12165
"72",1971,223657,12468
"73",1972,227869,13978
"74",1973,231126,13515
"75",1974,235108,14138
"76",1975,249189,14497
"77",1976,254972,15028
"78",1977,262188,15879
"79",1978,272567,16671
"80",1979,282099,17215
"81",1980,280653,16962
"82",1981,283632,17135
"83",1982,295764,18442
"84",1983,309519,19740
"85",1984,318240,20243
"86",1985,335397,20642
"87",1986,349745,21387
"88",1987,367984,22436
"89",1988,387053,23792
"90",1989,402801,24926
"91",1990,410616,25489
"92",1991,413175,26577
"93",1992,418029,27646
"94",1993,426731,28526
"95",1994,438285,29400
"96",1995,449115,30510
"97",1996,458580,31384
"98",1997,456804,32904
"99",1998,474672,34220
"100",1999,493822,36012
"101",2000,532083,38085
"102",2001,545691,38244
"103",2002,561446,40485
"104",2003,588584,44919
"105",2004,628181,50813
"106",2005,682373,61652
"107",2006,704802,74657
"108",2007,724185,91008
"109",2008,761911,136288
"110",2009,793139,168809
"111",2010,851065,201411
"112",2011,904827,236556
"113",2012,945971,276110
"114",2013,1003928,317850
"115",2014,1055510,351886
"116",2015,1095946,387994
"117",2016,1116306,407797
"118",2017,1137802,443957
"119",2018,1174870,474398
"120",2019,1236942,521309
"121",2020,1441553,674814
"122",2021,1529869,683435
